1926	23
1927	1320
1928	5147
1929	3165
1930	3303
1931	2719
1932	2241
1933	3994
1934	3787
1935	1442
1936	1658
1937	1809
1938	2704
1939	1900
1940	2483
1941	2147
1942	2277
1943	2446
1944	2420
1945	2269
1946	3519
1947	3474
1948	3647
1949	4318
1950	2499
1951	1052
1952	989
1953	1286
1954	997
1955	1015
1956	418
1957	177
1958	93
1959	32
1960	63
1961	14
1962	16
1963	9
1964	66
1965	177
1966	103
1967	36
1968	36
1969	14
1970	26
1971	22
1972	6
1973	4
1974	3
1975	126
1976	83
1977	118
1978	337
1979	170
1980	306
1981	145
1982	163
1983	88
1984	252
1985	1105
1986	1272
1987	810
1988	1191
1989	1557
1990	1498
1991	2094
1992	2406
1993	1796
1994	1274
1995	2478
1996	6726
1997	8291
1998	6610
1999	5351
2000	4546
2002	3621
2003	3115
2004	2280
